RAW_DATA,DATE,LINE,RESULT,FULL_DATE,FREE_CELL,TOTAL_ZEROS,TOTAL_ONES,RATIO,
,,,,,24230,"20,755.00",3475,20755:3475,
21:56:07.807901|0.21|0.0|2019-04-11 01:56:07.807951,21:56:08,0.21,0,2019-04-11 1:56:08,,,,,
21:56:09.183576|0.22|0.0|2019-04-11 01:56:09.183743,21:56:09,0.22,0,2019-04-11 1:56:09,,,,,
21:56:10.578977|0.23|0.0|2019-04-11 01:56:10.579081,21:56:11,0.23,0,2019-04-11 1:56:11,,,,,
21:56:11.957887|0.24|0.0|2019-04-11 01:56:11.957948,21:56:12,0.24,0,2019-04-11 1:56:12,,,,,
22:00:27.247455|0.0|0.0|2019-04-11 02:00:27.247510,22:00:27,0,0,2019-04-11 2:00:27,,,,,
22:00:28.724510|0.1|0.0|2019-04-11 02:00:28.724566,22:00:29,0.1,0,2019-04-11 2:00:29,,,,,
22:00:29.970045|0.2|0.0|2019-04-11 02:00:29.970102,22:00:30,0.2,0,2019-04-11 2:00:30,,,,,
22:00:31.319645|0.17|0.0|2019-04-11 02:00:31.319700,22:00:31,0.17,0,2019-04-11 2:00:31,,,,,
22:00:32.437755|0.4|0.0|2019-04-11 02:00:32.437814,22:00:32,0.4,0,2019-04-11 2:00:32,,,,,
22:00:33.673713|0.5|0.0|2019-04-11 02:00:33.673781,22:00:34,0.5,0,2019-04-11 2:00:34,,,,,
22:00:34.806794|0.6|0.0|2019-04-11 02:00:34.806841,22:00:35,0.6,0,2019-04-11 2:00:35,,,,,
22:00:35.932810|0.7|0.0|2019-04-11 02:00:35.932871,22:00:36,0.7,0,2019-04-11 2:00:36,,,,,
22:00:37.194166|0.8|0.0|2019-04-11 02:00:37.194237,22:00:37,0.8,0,2019-04-11 2:00:37,,,,,
22:00:38.268822|0.9|0.0|2019-04-11 02:00:38.268877,22:00:38,0.9,0,2019-04-11 2:00:38,,,,,
22:00:39.959743|0.11|0.0|2019-04-11 02:00:39.959805,22:00:40,0.11,0,2019-04-11 2:00:40,,,,,
22:00:41.710205|0.12|0.0|2019-04-11 02:00:41.710257,22:00:42,0.12,0,2019-04-11 2:00:42,,,,,
22:00:43.049395|0.13|0.0|2019-04-11 02:00:43.049457,22:00:43,0.13,0,2019-04-11 2:00:43,,,,,
22:00:44.667600|0.14|0.0|2019-04-11 02:00:44.667659,22:00:45,0.14,0,2019-04-11 2:00:45,,,,,
22:00:45.741451|0.15|0.0|2019-04-11 02:00:45.741503,22:00:46,0.15,0,2019-04-11 2:00:46,,,,,
22:00:47.225028|0.16|0.0|2019-04-11 02:00:47.225083,22:00:47,0.16,0,2019-04-11 2:00:47,,,,,
22:00:48.538249|0.18|0.0|2019-04-11 02:00:48.538337,22:00:49,0.18,0,2019-04-11 2:00:49,,,,,
22:00:49.788053|0.19|0.0|2019-04-11 02:00:49.788103,22:00:50,0.19,0,2019-04-11 2:00:50,,,,,
22:00:51.132592|0.21|0.0|2019-04-11 02:00:51.132647,22:00:51,0.21,0,2019-04-11 2:00:51,,,,,
22:00:52.363846|0.22|0.0|2019-04-11 02:00:52.363895,22:00:52,0.22,0,2019-04-11 2:00:52,,,,,
22:00:53.554972|0.23|0.0|2019-04-11 02:00:53.555024,22:00:54,0.23,0,2019-04-11 2:00:54,,,,,
22:00:54.855322|0.24|0.0|2019-04-11 02:00:54.855378,22:00:55,0.24,0,2019-04-11 2:00:55,,,,,
22:05:09.724365|0.0|0.0|2019-04-11 02:05:09.724423,22:05:10,0,0,2019-04-11 2:05:10,,,,,
22:05:11.223896|0.1|0.0|2019-04-11 02:05:11.223958,22:05:11,0.1,0,2019-04-11 2:05:11,,,,,
22:05:12.576125|0.2|0.0|2019-04-11 02:05:12.576175,22:05:13,0.2,0,2019-04-11 2:05:13,,,,,
22:05:13.960000|0.17|0.0|2019-04-11 02:05:13.960052,22:05:14,0.17,0,2019-04-11 2:05:14,,,,,
22:05:15.480044|0.4|0.0|2019-04-11 02:05:15.480100,22:05:15,0.4,0,2019-04-11 2:05:15,,,,,
22:05:16.960871|0.5|0.0|2019-04-11 02:05:16.960930,22:05:17,0.5,0,2019-04-11 2:05:17,,,,,
22:05:18.287483|0.6|0.0|2019-04-11 02:05:18.287539,22:05:18,0.6,0,2019-04-11 2:05:18,,,,,
22:05:19.516971|0.7|0.0|2019-04-11 02:05:19.517017,22:05:20,0.7,0,2019-04-11 2:05:20,,,,,
22:05:21.096779|0.8|0.0|2019-04-11 02:05:21.096839,22:05:21,0.8,0,2019-04-11 2:05:21,,,,,
22:05:22.584354|0.9|0.0|2019-04-11 02:05:22.584405,22:05:23,0.9,0,2019-04-11 2:05:23,,,,,
22:05:24.359192|0.11|0.0|2019-04-11 02:05:24.359247,22:05:24,0.11,0,2019-04-11 2:05:24,,,,,
22:05:25.798424|0.12|0.0|2019-04-11 02:05:25.798477,22:05:26,0.12,0,2019-04-11 2:05:26,,,,,
