DATE,LINE,RESULT,,,,TOTAL_ONES,,
,,,,,,1381,,
0.2230,0.12,0,,,,,,
0.2230,0.13,0,,,,,,
0.2230,0.14,0,,,,,,
0.2230,0.15,0,,,,,,
0.2230,0.16,0,,,,,,
0.2230,0.18,0,,,,,,
0.2230,0.19,0,,,,,,
0.2230,0.21,0,,,,,,
0.2230,0.22,0,,,,,,
0.2230,0.23,0,,,,,,
0.2230,0.24,0,,,,,,
0.2235,0,0,,,,,,
0.2235,0.1,0,,,,,,
0.2235,0.2,0,,,,,,
0.2235,0.17,0,,,,,,
0.2235,0.4,0,,,,,,
0.2235,0.5,0,,,,,,
0.2235,0.6,0,,,,,,
0.2235,0.7,0,,,,,,
0.2235,0.8,0,,,,,,
0.2235,0.9,0,,,,,,
0.2235,0.11,0,,,,,,
0.2235,0.12,0,,,,,,
0.2235,0.13,0,,,,,,
0.2235,0.14,0,,,,,,
0.2235,0.15,0,,,,,,
0.2235,0.16,0,,,,,,
0.2235,0.18,0,,,,,,
0.2235,0.19,0,,,,,,
0.2235,0.21,0,,,,,,
0.2235,0.22,0,,,,,,
0.2235,0.23,0,,,,,,
0.2235,0.24,0,,,,,,
0.2240,0,0,,,,,,
0.2240,0.1,0,,,,,,
0.2240,0.2,0,,,,,,
0.2240,0.17,0,,,,,,
0.2240,0.4,0,,,,,,
0.2240,0.5,0,,,,,,
0.2240,0.6,0,,,,,,
0.2240,0.7,0,,,,,,
0.2240,0.8,0,,,,,,
0.2240,0.9,0,,,,,,
0.2240,0.11,0,,,,,,
0.2240,0.12,0,,,,,,
0.2240,0.13,0,,,,,,
0.2240,0.14,0,,,,,,
0.2240,0.15,0,,,,,,
0.2240,0.16,0,,,,,,
0.2240,0.18,0,,,,,,
0.2240,0.19,0,,,,,,
0.2240,0.21,0,,,,,,
0.2240,0.22,0,,,,,,
0.2240,0.23,0,,,,,,
0.2240,0.24,0,,,,,,
0.2245,0,0,,,,,,
0.2245,0.1,0,,,,,,
0.2245,0.2,0,,,,,,
0.2245,0.17,0,,,,,,
0.2245,0.4,0,,,,,,
0.2245,0.5,0,,,,,,
0.2245,0.6,0,,,,,,
0.2245,0.7,1,,,,,,
0.2245,0.8,0,,,,,,
0.2245,0.9,0,,,,,,
0.2245,0.11,1,,,,,,
0.2245,0.12,1,,,,,,
0.2245,0.13,0,,,,,,
0.2245,0.14,0,,,,,,
0.2245,0.15,0,,,,,,
0.2245,0.16,0,,,,,,
0.2245,0.18,0,,,,,,
0.2245,0.19,0,,,,,,
0.2245,0.21,0,,,,,,
0.2245,0.22,0,,,,,,
0.2245,0.23,0,,,,,,
0.2246,0.24,0,,,,,,
0.2250,0,0,,,,,,
0.2250,0.1,0,,,,,,
0.2250,0.2,0,,,,,,
0.2250,0.17,0,,,,,,
0.2250,0.4,0,,,,,,
0.2250,0.5,0,,,,,,
0.2250,0.6,0,,,,,,
0.2250,0.7,1,,,,,,
0.2250,0.8,0,,,,,,
0.2250,0.9,0,,,,,,
0.2250,0.11,1,,,,,,
0.2250,0.12,1,,,,,,
0.2250,0.13,0,,,,,,
0.2250,0.14,1,,,,,,
0.2250,0.15,0,,,,,,
0.2250,0.16,0,,,,,,
0.2250,0.18,0,,,,,,
0.2250,0.19,0,,,,,,
0.2250,0.21,0,,,,,,
0.2250,0.22,0,,,,,,
0.2250,0.23,0,,,,,,
0.2250,0.24,0,,,,,,
0.2255,0,0,,,,,,
0.2255,0.1,0,,,,,,
0.2255,0.2,0,,,,,,
0.2255,0.17,0,,,,,,
0.2255,0.4,0,,,,,,
0.2255,0.5,0,,,,,,
0.2255,0.6,0,,,,,,
0.2255,0.7,1,,,,,,
0.2255,0.8,0,,,,,,
0.2255,0.9,0,,,,,,
0.2255,0.11,1,,,,,,
0.2255,0.12,1,,,,,,
0.2255,0.13,0,,,,,,
0.2255,0.14,1,,,,,,
0.2255,0.15,0,,,,,,
0.2255,0.16,0,,,,,,
0.2255,0.18,0,,,,,,
0.2255,0.19,0,,,,,,
0.2256,0.21,0,,,,,,
0.2256,0.22,0,,,,,,
0.2256,0.23,0,,,,,,
0.2256,0.24,0,,,,,,
0.0230,0,0,,,,,,
0.0230,0.1,0,,,,,,
0.0230,0.2,0,,,,,,
0.0230,0.17,0,,,,,,
0.0230,0.4,0,,,,,,
0.0230,0.5,0,,,,,,
0.0230,0.6,0,,,,,,
0.0230,0.7,1,,,,,,
0.0230,0.8,0,,,,,,
0.0230,0.9,0,,,,,,
0.0230,0.11,1,,,,,,
0.0230,0.12,1,,,,,,
0.0230,0.13,0,,,,,,
0.0230,0.14,0,,,,,,
0.0230,0.15,0,,,,,,
0.0230,0.16,0,,,,,,
0.0230,0.18,0,,,,,,
0.0230,0.19,0,,,,,,
0.0230,0.21,0,,,,,,
0.0230,0.22,0,,,,,,
0.0230,0.23,0,,,,,,
0.0230,0.24,0,,,,,,
0.0235,0,0,,,,,,
0.0235,0.1,0,,,,,,
0.0235,0.2,0,,,,,,
0.0235,0.17,0,,,,,,
